Instance,NumFactories,NumCountries,NumChildren,NumVariables,NumRestrictions,ExecutionTime
input_instance_100,2000,100,2301,4301,4401,.248245726
input_instance_101,2000,100,2301,4301,4401,.227408416
input_instance_102,2000,100,2301,4301,4401,.234238234
input_instance_103,2000,100,3101,5101,5201,.642672010
input_instance_104,2000,100,3101,5101,5201,.637491785
input_instance_105,2000,100,3101,5101,5201,.632674643
input_instance_106,2000,100,7101,9101,9201,4.886463296
input_instance_107,2000,100,7101,9101,9201,5.734168850
input_instance_108,2000,100,7101,9101,9201,5.553825212
input_instance_10,101,50,352,453,503,.250581039
input_instance_11,101,50,352,453,503,.267145142
input_instance_12,101,50,352,453,503,.191215446
input_instance_13,101,50,1152,1253,1303,.370357056
input_instance_14,101,50,1152,1253,1303,.370840941
input_instance_15,101,50,1152,1253,1303,.502241675
input_instance_16,101,50,5152,5253,5303,2.567638481
input_instance_17,101,50,5152,5253,5303,2.988390736
input_instance_18,101,50,5152,5253,5303,2.590948271
input_instance_19,101,100,402,503,603,.212781396
input_instance_1,101,2,304,405,407,.181230398
input_instance_20,101,100,402,503,603,.200775609
input_instance_21,101,100,402,503,603,.199475360
input_instance_22,101,100,1202,1303,1403,.426886395
input_instance_23,101,100,1202,1303,1403,.423976007
input_instance_24,101,100,1202,1303,1403,.413152845
input_instance_25,101,100,5202,5303,5403,3.314418704
input_instance_26,101,100,5202,5303,5403,4.123199545
input_instance_27,101,100,5202,5303,5403,2.247668610
input_instance_28,500,2,703,1203,1205,.239254028
input_instance_29,500,2,703,1203,1205,.234569814
input_instance_2,101,2,304,405,407,.179411812
input_instance_30,500,2,703,1203,1205,.188064836
input_instance_31,500,2,1503,2003,2005,.477293520
input_instance_32,500,2,1503,2003,2005,.513684280
input_instance_33,500,2,1503,2003,2005,.615846979
input_instance_34,500,2,5503,6003,6005,4.786196218
input_instance_35,500,2,5503,6003,6005,4.484126672
input_instance_36,500,2,5503,6003,6005,4.049114544
input_instance_37,500,50,751,1251,1301,.196752515
input_instance_38,500,50,751,1251,1301,.197887632
input_instance_39,500,50,751,1251,1301,.196606597
input_instance_3,101,2,304,405,407,.179510744
input_instance_40,500,50,1551,2051,2101,.442450874
input_instance_41,500,50,1551,2051,2101,.441374937
input_instance_42,500,50,1551,2051,2101,.423350111
input_instance_43,500,50,5551,6051,6101,2.872732031
input_instance_44,500,50,5551,6051,6101,2.852402775
input_instance_45,500,50,5551,6051,6101,2.794814934
input_instance_46,500,100,801,1301,1401,.220595420
input_instance_47,500,100,801,1301,1401,.212054897
input_instance_48,500,100,801,1301,1401,.211963664
input_instance_49,500,100,1601,2101,2201,.492692998
input_instance_4,101,2,1104,1205,1207,.384722526
input_instance_50,500,100,1601,2101,2201,.476566790
input_instance_51,500,100,1601,2101,2201,.487926512
input_instance_52,500,100,5601,6101,6201,3.540205162
input_instance_53,500,100,5601,6101,6201,3.458421195
input_instance_54,500,100,5601,6101,6201,3.449439435
input_instance_55,1000,2,1203,2203,2205,.234661253
input_instance_56,1000,2,1203,2203,2205,.191140535
input_instance_57,1000,2,1203,2203,2205,.198697064
input_instance_58,1000,2,2003,3003,3005,.507308347
input_instance_59,1000,2,2003,3003,3005,.496985917
input_instance_5,101,2,1104,1205,1207,.372579776
input_instance_60,1000,2,2003,3003,3005,.523428803
input_instance_61,1000,2,6003,7003,7005,4.377358987
input_instance_62,1000,2,6003,7003,7005,3.899874127
input_instance_63,1000,2,6003,7003,7005,3.936374028
input_instance_64,1000,50,1251,2251,2301,.202746231
input_instance_65,1000,50,1251,2251,2301,.201599174
input_instance_66,1000,50,1251,2251,2301,.205940016
input_instance_67,1000,50,2051,3051,3101,.490201886
input_instance_68,1000,50,2051,3051,3101,.489402315
input_instance_69,1000,50,2051,3051,3101,.490035535
input_instance_6,101,2,1104,1205,1207,.370510875
input_instance_70,1000,50,6051,7051,7101,3.014094995
input_instance_71,1000,50,6051,7051,7101,3.092859644
input_instance_72,1000,50,6051,7051,7101,3.052495208
input_instance_73,1000,100,1301,2301,2401,.217870748
input_instance_74,1000,100,1301,2301,2401,.217006498
input_instance_75,1000,100,1301,2301,2401,.212369918
input_instance_76,1000,100,2101,3101,3201,.544080260
input_instance_77,1000,100,2101,3101,3201,.534962164
input_instance_78,1000,100,2101,3101,3201,.542756581
input_instance_79,1000,100,6101,7101,7201,2.355323882
input_instance_7,101,2,5104,5205,5207,3.486379065
input_instance_80,1000,100,6101,7101,7201,3.864229282
input_instance_81,1000,100,6101,7101,7201,3.915545300
input_instance_82,2000,2,2203,4203,4205,.192121150
input_instance_83,2000,2,2203,4203,4205,.191829694
input_instance_84,2000,2,2203,4203,4205,.193764691
input_instance_85,2000,2,3003,5003,5005,.571059803
input_instance_86,2000,2,3003,5003,5005,.564415805
input_instance_87,2000,2,3003,5003,5005,.550589775
input_instance_88,2000,2,7003,9003,9005,4.921835700
input_instance_89,2000,2,7003,9003,9005,4.267319058
input_instance_8,101,2,5104,5205,5207,3.925328538
input_instance_90,2000,2,7003,9003,9005,4.585305406
input_instance_91,2000,50,2251,4251,4301,.209207398
input_instance_92,2000,50,2251,4251,4301,.207594523
input_instance_93,2000,50,2251,4251,4301,.205267409
input_instance_94,2000,50,3051,5051,5101,.559948993
input_instance_95,2000,50,3051,5051,5101,.566092805
input_instance_96,2000,50,3051,5051,5101,.564786285
input_instance_97,2000,50,7051,9051,9101,3.768615944
input_instance_98,2000,50,7051,9051,9101,3.586431803
input_instance_99,2000,50,7051,9051,9101,3.657919869
input_instance_9,101,2,5104,5205,5207,3.543245034
