101 100
1 85 141
2 47 590
3 99 766
4 31 802
5 35 818
6 41 270
7 55 89
8 3 210
9 90 801
10 22 42
11 74 802
12 19 286
13 76 619
14 71 350
15 72 105
16 72 324
17 79 358
18 72 407
19 37 170
20 85 958
21 43 660
22 42 542
23 31 393
24 73 182
25 99 905
26 24 350
27 54 626
28 88 306
29 58 120
30 50 602
31 75 787
32 21 849
33 60 534
34 59 639
35 84 688
36 19 571
37 42 760
38 42 257
39 81 95
40 55 380
41 7 956
42 98 877
43 29 887
44 23 405
45 56 375
46 92 466
47 54 685
48 9 451
49 9 372
50 71 175
51 16 694
52 16 495
53 89 597
54 68 786
55 40 942
56 85 863
57 73 753
58 37 374
59 2 166
60 16 566
61 34 265
62 75 82
63 7 114
64 66 840
65 39 183
66 64 961
67 47 853
68 65 149
69 89 462
70 14 860
71 85 264
72 66 783
73 34 219
74 22 322
75 85 722
76 30 955
77 65 633
78 12 69
79 45 821
80 34 481
81 1 233
82 6 140
83 88 459
84 81 282
85 38 756
86 75 806
87 46 471
88 70 650
89 44 153
90 58 216
91 51 281
92 84 920
93 72 612
94 47 306
95 6 823
96 2 787
97 94 329
98 4 576
99 88 86
100 28 253
101 32 343
1 279 18
2 298 47
3 434 11
4 153 56
5 177 100
6 386 24
7 467 57
8 101 69
9 333 88
10 289 92
11 116 53
12 201 78
13 413 58
14 371 90
15 324 33
16 229 42
17 407 74
18 180 13
19 362 78
20 443 21
21 386 82
22 105 95
23 408 42
24 487 19
25 259 69
26 316 28
27 477 68
28 155 89
29 366 23
30 181 25
31 422 46
32 112 34
33 316 27
34 140 61
35 256 87
36 101 81
37 343 12
38 124 61
39 391 71
40 418 35
41 428 61
42 494 26
43 390 63
44 149 31
45 303 75
46 282 54
47 357 62
48 440 43
49 473 16
50 215 42
51 200 21
52 333 62
53 343 47
54 482 44
55 130 25
56 284 63
57 457 10
58 360 100
59 302 42
60 332 69
61 276 60
62 315 11
63 291 48
64 467 95
65 207 98
66 343 89
67 262 93
68 198 68
69 122 82
70 172 91
71 353 32
72 168 89
73 351 88
74 374 48
75 396 80
76 180 81
77 468 35
78 222 85
79 166 47
80 240 96
81 410 14
82 292 18
83 345 71
84 422 20
85 240 58
86 155 97
87 182 84
88 463 43
89 370 20
90 288 83
91 495 64
92 237 37
93 471 40
94 300 78
95 302 96
96 285 59
97 126 30
98 192 31
99 277 48
100 468 84
1 36 92
2 97 9 35 61 21
3 67 34 96
4 33 13 65 42 98
5 38 6 4 15 36 17
6 41 7 57
7 87 34
8 79 9 93
9 50 53 58 67 64
10 27 45 47 55 79
11 79 35 25 44 41
12 32 59 61 14 38
13 1 18 73 3 24 45
14 90 39 85 76 38 33
15 63 82 25 68 80 38
16 97 9 4 100 5 25
17 61 9
18 53 84 3 72 96
19 31 7 27 12 37
20 78 53 56 11
21 34 20
22 24 26 47 16 2 59
23 60 62
24 44 59 94
25 11 94 62 61 34
26 63 97 96
27 36 10
28 92 81 93 50
29 66 70 13 14 88
30 66 93 44
31 4 91 99 50 97 60
32 63 27 60 98
33 3 4 60 77 37
34 51 101 10 97
35 75 28
36 23 12 79 81 91 30
37 59 99
38 46 14 12 7 60 64
39 58 29 31 71
40 48 3 45
41 26 27 55 5 88
42 22 78 52 26 23
43 91 24 50 97
44 45 67 29 30 84
45 72 4 28
46 22 39 33 54 73 79
47 15 77 45 49 83 34
48 75 29 63 58 13
49 14 38
50 30 43 89 15 22 47
51 52 42 25 90 77
52 26 35 77
53 76 29 54 10
54 22 72 38 10 62
55 49 90 8 41 85
56 55 22 81 7 53
57 44 63 12 30 28 54
58 36 100 65 68
59 89 34 101 87 19 37
60 72 96 95 70 80 60
61 57 18 68 17 32 2
62 74 84
